Type,Song,Artists,Main Artist,Year,Lyrics search URL,Lyrics
Bongo,Kwangwaru,Harmonize ft. Diamond Platnumz,Harmonize,2018,https://www.google.com/search?q=Kwangwaru+lyrics,"Hmm
I wish ningekuwaga na mavumba
Mkwanja manoti
Nikuhonge vya thamani
Ama, niwe fundi wa kuigiza ka' Kanumba
Masanja Joti usiwe mbali nami
Hmm
My darling, I need you love, oh
Uwe nami haki ya Mungu nakupenda
Nobody can show you love, oh
Usiwaamini ukishawapa wanakwenda
Oh, basi jilegeze
Nikubebe mgongoni (iyelewi)
Deka nikudekeze nikutunze kama mboni (iyelewi)
Wakija wapoteze jifanye kama huwaoni (iyelewi)
Kisha uniongeze ulivyofunzwa unyangoni (iyelewi)
Oh, baby
Asa dansi nikuone (kwa ngwaru)
Wa Bami Jo (kwa ngwaru)
Ololu Femi (kwa ngwaru)
Oh, baby
Asa cheza nikuone (kwa ngwaru)
Wa Bami Jo (kwa ngwaru)
Basi cheza na mimi (kwa ngwaru)
Aah
Moyo wangu wa muarobaini
Mchungu ukiuziwa
Samehe mara sabini
Huo uzungu sija jaaliwa
Ungependa juu ama chini
Kwenye uvungu uparemiwa
Nikumbatie baridini
Kwenye tundu kama njiwa
Moyo wangu ni wa makuti
Usinijie na kibiriti (hasa we')
Penzi likageuka chuki
Nyumba ikawa kibiti (hasa we')
Nipatie vya kitandani
Nipe mpaka kwenye kiti (hasa we')
Ili asiniingie shetani
Nawe nikaja kukucheati
Oh, basi jilegeze
Nikubebe mgongoni (iyelewi)
Kitandani nikoleze
Kwa miuno ya kingoni (iyelewi)
Kisha nibembeleze
Nirudishe utotoni (iyelewi)
Weka mate niteleze
Kama nyoka pangoni (iyelewi)
Oh, baby
Asa dansi kidogo (kwa ngwaru)
Oh, wa Bami Jo (kwa ngwaru)
Ololu Femi (kwa ngwaru)
Oh, baby
Asa cheza nikuone (kwa ngwaru)
Wa Bami Jo (kwa ngwaru)
Basi cheza na mimi (kwa ngwaru)
Ah!
Nataka kucheza chura na ingali umesimama
Aah, inama inama
Asa waonyeshe
Aah, inama inama
Unachezaje
Aah, inama inama
Unataka maji ya kisima na mwoga kuchutama
Aah, inama inama
Ebu waonyeshe
Aah, inama inama
Unachotaje
Aah, inama inama
Unataka kupiga deki wima umesimama
Aah, inama inama
Ebu tuonyeshe
Aah, inama inama
Unapigaje
Aah, inama inama
Si unataka vya pool table sa' mbona unajibana
Aah, inama inama
Ebu tuonyeshe
Aah, inama inama
Unalengaje
Aah, inama inama
Wasafi Record
Oya, wanangu wa kigogo (aah, inama)
Nipe za Mose Iyobo (aah, inama)
Vunja vunja kidogo (aah, inama)
Aah, niongeze mikogo (aah, inama inama)"
Bongo,Tetema,Rayvanny ft. Diamond Platnumz,Rayvanny,2019,https://www.google.com/search?q=Tetema+lyrics,"This is the remix
Aya twende tetema ooh mama tetema
Tipwa tipwa tetema ooh mama tetema
Aya twende tetema ooh mama tetema
Shuka chini tetema ooh mama tetema
Its S2kizzy beiby
As we step in addi club girl ya whine to de top
Me love the way the body go we don bang bang bang
Up in addi ref the gal misbehave and
The man dem me like yah bang bang bang
You like me I like you (Tetema)
You want me girl I want you (Tetema)
You like me I like you (Tetema)
You want me gal I want you
Bad girl me diggi dis
Your team bad gal you are the wickedest
Bad mmh wickedest
And the way you whine gal you finish it
Gal I hope you date me
Coz you captivate me you activate me (All night long)
There is no debating
Gal don't keep me waiting Its a five star rating
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Ka-katoto Kamenoga (Ooh mama)
Nakapa ndizi za Bukoba (Ooh mama)
Nakapadisha bodaboda (Ooh mama)
Kakichoka kuchuma mboga (Ooh mama)
Aaai mama shigidi aah
Nakufa hooi wikidi aah
Aaai mama shigidi konki
Fire motoo liquidi
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Cuka chini tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Chanting Yoruba language
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Tetema
Yaani kama vile generator (Tetema)
Kama mwizi kakupiga ngeta (Tetema)
Mwendo wa kutunga kupepeta (Tetema)
Chini nikipuliza tarumbeta
Asa wooza wooza cheza shogoloza kufa chali kama mende
Maria Roza poza tungi limepoza twende nikupige nyembe (Brr okey)
You make my mind go kolo (Kolo kolo)
Ukinuna tu mie toro (Doro doro washa)
Sa nipe za digi digi (Washa)
Miuno ya gigy gigy (Washa)
Funga kibindo mgwiji mgwiji (Washa)
Nikunyonge ka zigi zigi
Teeete (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Tipwa tipwa tetema (Ooh mama tetema)
Aya twende tetema (Ooh mama tetema)
Shuka chini tetema (Ooh mama tetema)
Tetema ooh mama tetema
See de gyal and tetema ooh mama tetema
Nigerian girls skelewa ooh they love skelewa
Yes dema sarewa mmh dem ah sarewa
Tanzanian girls skelewa yes they love skelewa
Skelewa well say"
Bongo,Moyo Mashine,Ali Kiba,Ali Kiba,2015,https://www.google.com/search?q=Moyo Mashine+lyrics,"Najua kukikucha ntajuta kama nikikuta unanitania
Maana moyo wangu nimekupa uweke
Mimi ni mfungwa tena ni mjinga
Nimejileta gerezani
Tena sikuwaza ntakuwa mateka
Mmh
Najua ulinizungusha sana
Sijali huwa ni mambo ya ujana
Kukupenda wewe sijuti
Maneno yalisemwa mengi sana
Kuna wakati nilikata tamaa
Kukupenda wewe sichoki
Ila majibu ya upendo ulishakosa
(Acha waseme)
Nimekupendea nini
(Moyo mashine)
Ila majibu ya upendo ulishakosaga
(Wacha waseme)
Nimekupendea nini
Nafsi inanituma upendo uko nje ya maneno
Ila vitendo
Kama bubu akipenda atanena vipi kwa maneno
Pasina vitendo?
Kiziwi, hata ukimwambia ""nakupenda"" wala hasikii
Ila vitendo oh
Wewe sijui sababu za kukupenda
Siwezi sema, ila utaona ah
Najua ulinizungusha sana
Sijali huwa ni mambo ya ujana
Kukupenda wewe sijuti
Maneno yalisemwa mengi sana
Kuna wakati nilikata tamaa
Kukupenda wewe sichoki
Ila majibu ya upendo ulishakosa
(Acha waseme)
Nimekupendea nini
(Moyo mashine)
Ila majibu ya upendo ulishakosaga
(Wacha waseme)
Nimekupendea nini
Oh kama moyo ulisimama nlipokuona
Hukuongea, hukucheka, nilikuona tu
Na tabia sikufahamu, labda niache mwanadamu
Ukipenda usishangae ni upofu wa moyo
Kumbe moyo ulinirubuni, hukusema umependa nini
Ila majibu ya upendo ulishakosa
(Acha waseme)
Nimekupendea nini
(Moyo mashine)
Ila majibu ya upendo ulishakosaga
(Wacha waseme)
Nimekupendea nini"
Bongo,Nibebe,Nyota Ndogo,Nyota Ndogo,2008,https://www.google.com/search?q=Nibebe+lyrics,"Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
E mungu angalia kunena kwangu,
Na usikie sauti ya kilio changu
Moyo wangu umechoka sana baba,
Kwa ajili ya wingi wa mateso yangu
Nafsi yangu imegandamana na mavumbi
Niokoe mikononi mwa midomo ya mbwa
Kwanini ninateswa sana kwa ajili yako babaga
Niokoe mikononi mwa watu wabaya
fanya hima unisaidie nibebe
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nimechoka peke yangu
Safari ngumu no ndefu nibebe
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Macho yangu yamedhoofukwa machozi
Kwani mateso yangu hayapimiki kwa mizani
Kwa kuwa aliyenitukana siye adui yangu
bali ni rafiki yangu tuliyejuana naye sana
Tulikula pamoja, tulisali pamoja, kanisani pamoja
Bwana asifiwe kwa sana
Kumbe mwenzangu alikusudia kuniangamiza
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Kweli nimeamini adui wa kwanza ni yule wa nyumbani mwako
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Hata nliowasaidia nao wamenishuhudia uongo
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Wengine wakinibeba nitaambulia matatizo, yesu nibebe
Dunia ikinibeba itanipeleka jehanamu, yesu nibebe
Marafiki wakinibeba watanipeleka pabaya, yesu nibebe
Baba nibebe, yesu nibebe,
Nibembeleze nibebe, nichukue mbinguni salama
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nimechoka pekee yangu safari ngumu siwezi
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nifike mbinguni nimwone Eliya (Amen)
Nifike mbinguni nimwone Yakobo (Amen)
Pamoja na kiti cha enzi mbinguni kwa baba(Amen)
Kwa njia za dhahabu nami nakatembelee(Amen)
O baba nibebe, yesu nibebe,
Nibembeleze nibebe, nichukue mbinguni salama
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nakwita Yesu unibebe mwokozi
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nifike mbinguni nikamwone baba (Amen)
Nifike mbinguni nakapumzike (Amen)
Katika kiti cha enzi nami nikasujudie (Amen)
Niwaone wenzangu wale walionitangulia (Amen)
Nikale matunda ya mti wa uzima (Amen)
Yesu nibebe, baba nibebe,
Nibembeleze nibebe nichukue mbiguni salama
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nimechoka pekee yangu dunia ngumu pekee yangu siwezi
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nimechoka pekee yangu safari ngumu ni ndefu siwezi
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama
Nibebe nibebe nibebe nibebe
Nibembeleze nibebe, eh Yesu unibebe
Nichukue unibebe
Mikononi mwako niwe salama"
Bongo,Kidogo,Diamond Platnumz ft. P-Square,Diamond Platnumz,2016,https://www.google.com/search?q=Kidogo+lyrics,"Eh
P-Square
V-tek the boss
And Diamond
Waasaafiii...
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo
She gat me
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Yani kabisa mi ananimalizaga
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Yani kabisa mi ananimalizaga
Kidogo dogo (aah kidogo kile)
Kidogo dogo (basi nipe kidogo mama)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (nipe tena)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (basi nipe kidogo mama)
Kidogo dogo (aah kidogo kile)
Kidogo dogo
Oya come make we gum body (ooh yeah)
You and I we become body (ooh yeah)
Girl as you dey see me so (ooh yeah)
I Will never let you go tai (ooh yeah)
Mpaka napata midadii (ooh yeah)
Wapi unataka mikadii (ooh yeah)
Aah kote mi nipo (ooh yeah)
Say my beautiful (ooh yeah)
I'm in love (I'm in loooove)
I'm gonna give you what your need
Let me give you what you need
I'm in love (I'm in loooove)
I'm gonna give you what your need
Let me give you what you need
She gat me
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Yani kabisa mi ananimalizaga
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Yani kabisa mi ananimalizaga
Kidogo dogo (aah kidogo kile)
Kidogo dogo (basi nipe kidogo mama)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (nipe tenaa)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (basi nipe kidogo mama)
Kidogo dogo (aah kidogo kile)
Kidogo dogo
Wasije kwa ngongongo kerewa haa
Minjonjo ukalewa hee
Mwishoni ukanogewa hehehe
Na tunda nikamegewa eeeh
Chululi si ndondondo chelewa haa
Ni uwongo elewa hee
Chonde chonde mamy hehehe
Utanikoseaa
Oya come make we gum body (ooh yeah)
You and I we become body (ooh yeah)
Girl as you dey see me so (ooh yeah)
I will never let you go tai (ooh yeah)
Mpaka napata midadii (ooh yeah)
Wapi unataka mikadii (ooh yeah)
Aah kote mi nipo (ooh yeah)
Say my beautiful (ooh yeah)
I'm in love (I'm in loooove)
I'm gonna give you what your need
Let me give you what you need
I'm in love (I'm in loooove)
I'm gonna give you what your need
Let me give you what you need
She gat me
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Yani kabisa mi ananimalizaga
Dancing eeh
Party eeh
Fiesta eeh
Forever aah
Ooh yeaaaaah
Ndio kabisa mi ananimalizaga
Kidogo dogo (eeeeh)
Kidogo dogo (eeeeh)
Kidogo dogo (kidogo dogo mamaaa)
Kidogo dogo (unanichangaya kabisaa)
Kidogo dogo (usiki kucha na na kukicha)
Kidogo dogo (eeeeh)
Kidogo dogo (aah kirangaraa)
Kidogo dogo
Tonight, I'm gonna give you all the love you deserve
Nobody can take it awaaaay
My baby you look so fine (so fine)
My african girl so beautiful (so beautiful)
I'm in love, you're in love
So in love, yeaah
I'm in love, you're in love
So in love
Yani kabisa ananimalizaga
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo kile)
Kidogo dogo (aah kidogo mama)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)
Kidogo dogo (ooh yeah)"
Bongo,Number One,Diamond Platnumz ft. Davido,Diamond Platnumz,2014,https://www.google.com/search?q=Number One+lyrics,"Ladies and gentlemen
If you don't have a perfect one to tell your partner
That you are in love with
Just dedicate him or her this beautiful song
Just tell him ""baby you are my number one""
Shout out to Rayvanny for featuring me
In this dop dop truck
Shout out to Mbosso for helping me write the verse
So yeah let's go, yeah let's go
Lalala, la la la
La- la-la mmmh
Hausukumi damu moyo
Unasukuma upendo wangu
Niko mahabani mambo sawa
Penzi nalimung'unya kibogoyo
Nimepata size yangu
Yaani nalioga sio kunawa
Firimbi nitapuliza
Kuita ndege waje
Raha zimefululiza
Kwako natokaje?
Hadi bububu umepitiliza
Uko kwa bibi paje
Taratibu unaniliza
Tulivuruge varanga
Chimene za kunengua kwangaru
Nikiandae kitanda
Shuka za maua ua ya marooon
Kisha tugonge na venta
Mambo ya kujizingua na valu
Nifunge upande kanga
Babu Juma we kwaruaa
Oh baby you are my
You are my one
My one and only yeah
Baby more
Kwa penzi lako hoi
More and more, more
Ukisha choshwa na kazi
Na kero za wanadama
Mpenzi, rudi kwangu nikuenzi
Tuzitikise bandama
Nikuchekeshe ucheke
Sijali mindojoti wako wewe
Na kwanini uteseke
Wakati me nipo kwa ajili yako wewe eeeh
Number one, you are my number one
Number one, you are my only one
Number one, you are my number one
Number one,
Nomber one aaaah
Number one aaaah
Number one, you are my only one
Number one, you are my only one
Yeah"
Bongo,Hallelujah,Diamond Platnumz ft. Morgan Heritage,Diamond Platnumz,2018,https://www.google.com/search?q=Hallelujah+lyrics,"Now I've heard there was a secret chord
That David played, and it pleased the Lord
But you dont really care for music, do you?
It goes like this, the fourth, the fifth
The minor falls, the major lifts
The baffled king composing Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew her
She tied you to a kitchen chair
She broke your throne, and she cut your hair
And from your lips she drew the Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Well, maybe there's a God above
As for me all I've ever learned from love
Is how to shoot somebody who outdrew you
But it's not a crime that you're hear tonight
It's not some pilgrim who claims to have seen the Light
No, it's a cold and it's a very broken Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Instrumental
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Well people I've been here before
I know this room and I've walked this floor
You see I used to live alone before I knew ya
And I've seen your flag on the marble arch
But listen love, love is not some kind of victory march, no
It's a cold and it's a broken Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
There was a time you let me know
What's really going on below
But now you never show it to me, do you?
And I remember when I moved in you
And the holy dove she was moving too
And every single breath we drew was Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Now I've done my best, I know it wasn't much
I couldn't feel, so I tried to touch
I've told the truth, I didnt come here to London just to fool you
And even though it all went wrong
I'll stand right here before the Lord of song
With nothing, nothing on my tongue but Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah"
Bongo,Nataka Kulewa,Diamond Platnumz,Diamond Platnumz,2010,https://www.google.com/search?q=Nataka Kulewa+lyrics,"AM-Records
Ayaya yaya yaaa!
We niache niende niende, niende niende
We niache niende niende, niende niende
Mhhhh usiniulize kwanini
Sababu utanizinguaaa
Ukitaka jiunge na mimi
Kama ni pesa we kunywa nitanunua
Mi mwenzio sikuamini
Nikajuaga vya kuzua
Kumbe mjinga ni mimi
Ninaetunza wenzangu wanachukua
Aaah, oooh mapenzi
Mapenzi yalinifanya kama mtoto nilie vibaya
Mie siwezi ya walionikuta niache niseme jina
Ooh mapenzi, mapenzi yalinifanya katoto
Nilie vibaya na nina mengi yamenikaa moyoni
Leo nataka kulewa (lewa)
Mi nataka kulewa (lewa)
Nataka kulewa (lewa)
Zikipanda nimwage radhi
Nataka kulewa (lewa)
Mi nataka kulewa (lewa)
Nataka kulewa (lewa)
Zikipanda nimwage radhi
Ayaya yaya yaaa
We niache niende niende, niende niende
Ayaya yaya yaaa
We niache niende niende, niende niende
Mi kwa mapenzi maskini, 'kamvisha na pete kwa kumuoa
Kukata vilimi limi vya wazushi wanafiki wanaompoonda
Kumbe mwenzangu na mimii, ni bure tu najusumbua
Si tupo kama ishirini, mabuzi ving'asti wengine anawaonga
Ooh mapenzi yalinifanya kama mtoto nilie vibayaa
Mie siwezi walonikuta waniache niseme jina
Ooh mapenzi yalinifanya kama mtoto nilie vibaya
Na nina mengi, yamenijaa moyoni
Ehhh leo nataka kulewa (lewa)
Mi nataka kulewa (lewa)
Nataka kulewa (lewa)
Zikipanda nimwage ya radhi (tilalila)
Nataka kulewa (lewa, tilalila)
Mi nataka kulewa (lewa)
Nataka kulewa (lewa)
Zikipanda nimwage radhi
Ayaya yaya yaa
We niache niende niende (kulewa kulewa)
Niende niende (kulewa kulewa)
Kulewa kulewa
Weniache niende niende (kulewa kulewa)
Niende niende (kulewa kulewa)
Kulewa kulewa (iiih)
Kulewa kulewa (iiih)
Kulewa kulewa (iiih)
Kulewa kulewa (iiih)
Kulewa kulewa (iiih)"
